,methods,N,B,MAE,se,K_tuned
82,monte-carlo,50,5000,0.009714000000000013,0.00020189391859766275,0.9
83,KS,50,5000,0.01886080000000023,1.3260660665291106e-05,0.9
84,LOCART,50,10000,0.005806800000000024,3.6840442750867944e-05,0.0
85,LOFOREST,50,10000,0.00775000000000006,9.592384646833117e-05,0.0
86,tuned LOFOREST,50,10000,0.005806800000000024,3.642243333331779e-05,0.0
87,boosting,50,10000,0.012899600000000032,0.000548716347868297,0.0
88,monte-carlo,50,10000,0.009191200000000005,0.00014997687568315337,0.0
89,KS,50,10000,0.018992000000000182,1.4816242589808347e-05,0.0
90,LOCART,50,15000,0.005652400000000026,3.5580494449627856e-05,0.0
91,LOFOREST,50,15000,0.007923200000000043,9.234720728381583e-05,0.0
92,tuned LOFOREST,50,15000,0.005652400000000026,3.338599229137859e-05,0.0
93,boosting,50,15000,0.007537200000000057,0.0005324494924145227,0.0
94,monte-carlo,50,15000,0.01006120000000001,0.00010820850720567188,0.0
95,KS,50,15000,0.018850000000000228,1.5758696758298075e-05,0.0
96,LOCART,100,1000,0.011214000000000056,0.0005585602111268586,26.0
97,LOFOREST,100,1000,0.0074460000000000125,0.00029581249068205587,26.0
98,tuned LOFOREST,100,1000,0.006921200000000017,0.000272612344984744,26.0
99,boosting,100,1000,0.0174648,0.0010300919033148879,26.0
100,monte-carlo,100,1000,0.012654800000000042,0.0003825413319811594,26.0
101,KS,100,1000,0.014658400000000116,1.5292951327981535e-05,26.0
102,LOCART,100,5000,0.005508800000000023,0.00022565892932476712,0.7
103,LOFOREST,100,5000,0.006344400000000016,0.00015986060233190698,0.7
104,tuned LOFOREST,100,5000,0.005508800000000023,9.877846890896824e-05,0.7
105,boosting,100,5000,0.008724000000000022,0.0006434981281822694,0.7
106,monte-carlo,100,5000,0.009047200000000036,0.00016858386942907724,0.7
107,KS,100,5000,0.01458720000000009,1.6518571405542057e-05,0.7
108,LOCART,100,10000,0.005715600000000023,7.942199420513183e-05,0.0
109,LOFOREST,100,10000,0.009354400000000037,0.00011606605085036715,0.0
110,tuned LOFOREST,100,10000,0.005715600000000023,6.866745175059266e-05,0.0
111,boosting,100,10000,0.009451200000000033,0.0008903863280352025,0.0
112,monte-carlo,100,10000,0.009300000000000041,0.00013618129586224437,0.0
113,KS,100,10000,0.014526400000000111,1.6084201679910237e-05,0.0
114,LOCART,100,15000,0.005683200000000015,0.00011719531766209759,0.0
115,LOFOREST,100,15000,0.008191600000000021,0.00011628720701986072,0.0
116,tuned LOFOREST,100,15000,0.005683200000000015,2.606005411506275e-05,0.0
117,boosting,100,15000,0.00721520000000002,0.000353229964471195,0.0
118,monte-carlo,100,15000,0.011117200000000015,0.00013757914357750552,0.0
119,KS,100,15000,0.014552800000000088,1.5527742398687744e-05,0.0
