,methods,N,B,MAE,se,K_tuned
27,boosting,10,1000,0.035880400000000034,0.0011462950430809842,76.6
28,monte-carlo,10,1000,0.03223039999999943,0.00013985012803597729,76.6
29,LR,10,1000,0.13142439999999875,2.215859056889839e-05,76.6
30,LOCART,10,5000,0.031147999999999974,0.0003354204729522681,87.2
31,LOFOREST,10,5000,0.046802799999999596,0.0007272101525583941,87.2
32,tuned LOFOREST,10,5000,0.028959199999999918,0.00026101320405281695,87.2
33,boosting,10,5000,0.035053200000000215,0.0009486054432086778,87.2
34,monte-carlo,10,5000,0.03622200000000013,0.000194475200125053,87.2
35,LR,10,5000,0.1316799999999988,2.022986130253923e-05,87.2
36,LOCART,10,10000,0.0294108,0.0002503428975375986,88.9
37,LOFOREST,10,10000,0.02473719999999989,0.00014161757540644363,88.9
38,tuned LOFOREST,10,10000,0.020331199999999976,0.00015188190250480709,88.9
39,boosting,10,10000,0.033814000000000004,0.0009577289821779947,88.9
40,monte-carlo,10,10000,0.024952799999999914,0.0001634193027090755,88.9
41,LR,10,10000,0.13160719999999904,2.0439373736000364e-05,88.9
42,LOCART,10,15000,0.024379999999999985,0.00018099165876912763,82.7
43,LOFOREST,10,15000,0.02068239999999995,0.00012269329369904382,82.7
44,tuned LOFOREST,10,15000,0.018966399999999998,0.00013482960897844373,82.7
45,boosting,10,15000,0.034796000000000035,0.0010818343018434648,82.7
46,monte-carlo,10,15000,0.029020000000000153,0.00015181949583792034,82.7
47,LR,10,15000,0.13157839999999874,1.751206121505751e-05,82.7
48,LOCART,20,1000,0.034111999999999754,0.0016244408156129348,62.9
49,LOFOREST,20,1000,0.07167640000000022,0.00027889924050897703,62.9
50,tuned LOFOREST,20,1000,0.07102440000000022,0.00035853600120489974,62.9
51,boosting,20,1000,0.04561320000000033,0.0010378315445063787,62.9
52,monte-carlo,20,1000,0.0318635999999994,0.00012008196810645529,62.9
53,LR,20,1000,0.109259999999999,1.88543879158141e-05,62.9
54,LOCART,20,5000,0.031363600000000054,0.0003041394879164504,88.6
55,LOFOREST,20,5000,0.044134800000000134,0.001322819550346502,88.6
56,tuned LOFOREST,20,5000,0.026126000000000003,0.00021007856869580336,88.6
57,boosting,20,5000,0.0399584000000002,0.001031331271451581,88.6
58,monte-carlo,20,5000,0.02896040000000005,0.00023466085532683283,88.6
59,LR,20,5000,0.10912119999999877,2.2478352936100708e-05,88.6
60,LOCART,20,10000,0.022508800000000006,0.0002485225285974731,87.7
61,LOFOREST,20,10000,0.02420119999999987,0.00013411963616532523,87.7
62,tuned LOFOREST,20,10000,0.020415999999999993,0.0001500491571719073,87.7
63,boosting,20,10000,0.027868400000000095,0.0009411407473571688,87.7
64,monte-carlo,20,10000,0.024971599999999965,0.00016713229795249242,87.7
65,LR,20,10000,0.10929879999999886,2.076295350088555e-05,87.7
66,LOCART,20,15000,0.02345400000000005,0.00017456056567827794,83.9
67,LOFOREST,20,15000,0.01859439999999998,0.00011702625540074149,83.9
68,tuned LOFOREST,20,15000,0.018400000000000014,0.00011879190478008073,83.9
69,boosting,20,15000,0.03018960000000014,0.000872782383159338,83.9
70,monte-carlo,20,15000,0.025864400000000017,0.000145640282445209,83.9
71,LR,20,15000,0.10902119999999932,2.171323798975564e-05,83.9
72,LOCART,50,1000,0.039939600000000054,0.0004993759242843928,74.5
73,LOFOREST,50,1000,0.0617604000000006,0.000279347180196111,74.5
74,tuned LOFOREST,50,1000,0.05856000000000057,0.0003001379858131933,74.5
75,boosting,50,1000,0.03519280000000015,0.0008257142805743012,74.5
76,monte-carlo,50,1000,0.03138559999999945,0.00016277661152487184,74.5
77,LR,50,1000,0.0763092000000001,1.937791316731593e-05,74.5
78,LOCART,50,5000,0.021053199999999946,0.0001591239468429575,86.8
79,LOFOREST,50,5000,0.03957800000000014,0.00031123377050700136,86.8
80,tuned LOFOREST,50,5000,0.025401600000000107,0.0008306090244333346,86.8
81,boosting,50,5000,0.022993600000000062,0.0007605562336711256,86.8
82,monte-carlo,50,5000,0.022349600000000074,0.00015906422719291533,86.8
83,LR,50,5000,0.07608479999999997,2.058673747829333e-05,86.8
84,LOCART,50,10000,0.018537600000000036,0.00016412292290841034,84.6
85,LOFOREST,50,10000,0.020284399999999925,0.00044373839267244084,84.6
86,tuned LOFOREST,50,10000,0.018483600000000003,0.0001597929325856408,84.6
87,boosting,50,10000,0.019512400000000013,0.0006699280907885016,84.6
88,monte-carlo,50,10000,0.01984920000000006,0.00013551356699725652,84.6
89,LR,50,10000,0.07599080000000012,1.943859695348666e-05,84.6
90,LOCART,50,15000,0.01882400000000002,0.0001288399247438456,81.2
91,LOFOREST,50,15000,0.016762800000000064,0.00013442197982651422,81.2
92,tuned LOFOREST,50,15000,0.016069600000000007,8.97501175593636e-05,81.2
93,boosting,50,15000,0.02616040000000019,0.00068128823980457,81.2
94,monte-carlo,50,15000,0.018150399999999983,0.00014250469381069488,81.2
95,LR,50,15000,0.07630800000000018,2.0821007729697375e-05,81.2
96,LOCART,100,1000,0.027963200000000056,0.000607332101239124,66.4
97,LOFOREST,100,1000,0.04802200000000056,0.00027969172578623205,66.4
98,tuned LOFOREST,100,1000,0.04781320000000053,0.0002908055791354791,66.4
99,boosting,100,1000,0.02895920000000013,0.0009503678978019444,66.4
100,monte-carlo,100,1000,0.029860399999999464,0.00020863260666654926,66.4
101,LR,100,1000,0.05218320000000025,1.860680993615128e-05,66.4
102,LOCART,100,5000,0.017483200000000063,0.0003058396961547025,86.2
103,LOFOREST,100,5000,0.030584400000000154,0.00025079152493240634,86.2
104,tuned LOFOREST,100,5000,0.02317000000000016,0.0002382587882557975,86.2
105,boosting,100,5000,0.02016280000000008,0.0005488329427652103,86.2
106,monte-carlo,100,5000,0.01788800000000001,0.00015368655405076926,86.2
107,LR,100,5000,0.05251040000000021,1.9467759242401142e-05,86.2
108,LOCART,100,10000,0.022530800000000115,0.00034112913241809517,86.4
109,LOFOREST,100,10000,0.02202000000000017,0.00012640769799849663,86.4
110,tuned LOFOREST,100,10000,0.018118000000000117,0.0003138150565157812,86.4
111,boosting,100,10000,0.020202800000000114,0.0004481631137756894,86.4
112,monte-carlo,100,10000,0.015479200000000005,0.00015011321981597632,86.4
113,LR,100,10000,0.05219720000000029,1.754685580040081e-05,86.4
114,LOCART,100,15000,0.01319840000000013,0.00021266530384884052,80.9
115,LOFOREST,100,15000,0.019413600000000125,0.00016347265570584092,80.9
116,tuned LOFOREST,100,15000,0.013734000000000055,0.00017479643421168596,80.9
117,boosting,100,15000,0.019264800000000026,0.0004916406789926194,80.9
118,monte-carlo,100,15000,0.014630400000000017,0.00015220943436305105,80.9
119,LR,100,15000,0.05238360000000027,2.005527558324885e-05,80.9
