,methods,N,B,MAE,se,K_tuned
67,tuned LOFOREST,50,5000,0.013249333333333342,0.0002225494522563203,47.833333333333336
68,boosting,50,5000,0.013956000000000008,0.0004747809412311933,47.833333333333336
69,monte-carlo,50,5000,0.01892533333333332,0.00024269804382682218,47.833333333333336
70,LOCART,50,10000,0.010855999999999994,0.000172257257893882,29.5
71,LOFOREST,50,10000,0.008654666666666668,0.00012588945938218606,29.5
72,tuned LOFOREST,50,10000,0.008377333333333337,0.0001028527123025127,29.5
73,boosting,50,10000,0.014214666666666658,0.0002416068329505498,29.5
74,monte-carlo,50,10000,0.013313333333333323,0.00020673282652686247,29.5
75,LOCART,50,15000,0.011898666666666658,0.00013192706028168695,22.833333333333332
76,LOFOREST,50,15000,0.009434666666666664,9.541252344231091e-05,22.833333333333332
77,tuned LOFOREST,50,15000,0.008318666666666665,9.924892627255488e-05,22.833333333333332
78,boosting,50,15000,0.012779999999999988,0.0002058686306117538,22.833333333333332
79,monte-carlo,50,15000,0.011091999999999994,0.00012213716232070047,22.833333333333332
80,LOCART,100,1000,0.03242399999999999,0.0006095299855562328,46.333333333333336
81,LOFOREST,100,1000,0.047225333333333355,0.0004939007414984051,46.333333333333336
82,tuned LOFOREST,100,1000,0.046246666666666755,0.0004185121391319764,46.333333333333336
83,boosting,100,1000,0.04264533333333335,0.001075345193263491,46.333333333333336
84,monte-carlo,100,1000,0.03992800000000016,0.0002811403497018078,46.333333333333336
85,LOCART,100,5000,0.012375999999999988,0.00020093391186723895,45.666666666666664
86,LOFOREST,100,5000,0.011623999999999989,0.00020215233061644995,45.666666666666664
87,tuned LOFOREST,100,5000,0.011605333333333327,0.0001871568451189991,45.666666666666664
88,boosting,100,5000,0.01670266666666666,0.0002936604949954748,45.666666666666664
89,monte-carlo,100,5000,0.01358266666666665,0.00023770079321417886,45.666666666666664
90,LOCART,100,10000,0.010958666666666665,0.00021066077582012192,25.0
91,LOFOREST,100,10000,0.009237333333333342,0.00014096757354130563,25.0
92,tuned LOFOREST,100,10000,0.009147999999999998,0.00012377336011798774,25.0
93,boosting,100,10000,0.011958666666666652,0.00025410153571490783,25.0
94,monte-carlo,100,10000,0.010614666666666663,0.0001768704058834206,25.0
95,LOCART,100,15000,0.010350666666666663,0.0001805115759086848,22.5
96,LOFOREST,100,15000,0.007940000000000001,9.540574509708986e-05,22.5
97,tuned LOFOREST,100,15000,0.007529333333333329,7.607699110855842e-05,22.5
98,boosting,100,15000,0.011457333333333333,0.00014865868682564174,22.5
99,monte-carlo,100,15000,0.010681333333333334,0.00019176921812578808,22.5
