,methods,N,B,MAE,se,K_tuned
31,LOFOREST,10,5000,0.008213333333333324,0.00021909425973814421,0.0
32,tuned LOFOREST,10,5000,0.0059633333333333335,0.00015089516296343342,0.0
33,boosting,10,5000,0.01112333333333331,0.00034371383925029875,0.0
34,monte-carlo,10,5000,0.010999999999999992,0.0002889273450187567,0.0
35,KS,10,5000,0.03128000000000001,4.887119208324918e-05,0.0
36,LOCART,10,10000,0.005720000000000002,0.000234787195478147,0.0
37,LOFOREST,10,10000,0.008443333333333332,0.00014755302318219594,0.0
38,tuned LOFOREST,10,10000,0.005720000000000002,9.060329121285148e-05,0.0
39,boosting,10,10000,0.007173333333333327,0.0002467860538575882,0.0
40,monte-carlo,10,10000,0.009369999999999979,0.00019240864969477316,0.0
41,KS,10,10000,0.030953333333333357,4.2744474771095135e-05,0.0
42,LOCART,10,15000,0.005469999999999998,6.096702205108712e-05,0.0
43,LOFOREST,10,15000,0.0075166666666666585,0.00015165836227434528,0.0
44,tuned LOFOREST,10,15000,0.005469999999999998,6.096702205108712e-05,0.0
45,boosting,10,15000,0.005686666666666671,0.0002444722172774975,0.0
46,monte-carlo,10,15000,0.00977666666666665,0.00017467091809923412,0.0
47,KS,10,15000,0.03106666666666669,4.519743610485779e-05,0.0
48,LOCART,20,1000,0.023713333333333315,0.000798450062601997,23.666666666666668
49,LOFOREST,20,1000,0.0061166666666666635,0.0005343114164154942,23.666666666666668
50,tuned LOFOREST,20,1000,0.005183333333333328,0.0005342367287116489,23.666666666666668
51,boosting,20,1000,0.02285666666666664,0.0010864178274884713,23.666666666666668
52,monte-carlo,20,1000,0.015249999999999939,0.0006595599945567879,23.666666666666668
53,KS,20,1000,0.02582000000000003,4.584719655659205e-05,23.666666666666668
54,LOCART,20,5000,0.006380000000000001,0.00023225226546756136,0.0
55,LOFOREST,20,5000,0.00832666666666667,0.00020315969513758108,0.0
56,tuned LOFOREST,20,5000,0.006380000000000001,0.00015441761157792864,0.0
57,boosting,20,5000,0.007569999999999993,0.0002672725401151191,0.0
58,monte-carlo,20,5000,0.0115833333333333,0.00032119959116763257,0.0
59,KS,20,5000,0.025483333333333354,4.294460495394262e-05,0.0
60,LOCART,20,10000,0.00531333333333333,0.00019961151673480301,0.0
61,LOFOREST,20,10000,0.006773333333333331,0.00020130746399904864,0.0
62,tuned LOFOREST,20,10000,0.00531333333333333,5.225963986527008e-05,0.0
63,boosting,20,10000,0.0065333333333333285,0.0001988447178345437,0.0
64,monte-carlo,20,10000,0.009196666666666641,0.00020406143672641242,0.0
65,KS,20,10000,0.02523333333333335,5.348841649916815e-05,0.0
66,LOCART,20,15000,0.0062500000000000056,7.373069671351326e-05,0.0
67,LOFOREST,20,15000,0.008066666666666666,0.00012794828559229747,0.0
68,tuned LOFOREST,20,15000,0.0062500000000000056,5.9880900312388595e-05,0.0
