,methods,N,B,MAE,se,K_tuned
33,boosting,10,10000,0.022508400000000105,0.0002444614813117206,87.7
34,monte-carlo,10,10000,0.035642800000000245,0.0001876716492225729,87.7
35,LOCART,10,15000,0.031195600000000177,0.0002197483654845269,89.9
36,LOFOREST,10,15000,0.030777999999999993,0.00016788604664450343,89.9
37,tuned LOFOREST,10,15000,0.024640000000000065,0.00014019793277106387,89.9
38,boosting,10,15000,0.018028400000000097,0.0001946739104336282,89.9
39,monte-carlo,10,15000,0.039728800000000265,0.00018902508843092957,89.9
40,LOCART,20,1000,0.06712359999999992,0.0009495602109817661,79.3
41,LOFOREST,20,1000,0.07204879999999977,0.0003983307956745748,79.3
42,tuned LOFOREST,20,1000,0.07108199999999985,0.00043068238568153764,79.3
43,boosting,20,1000,0.04921800000000034,0.0009012244685814585,79.3
44,monte-carlo,20,1000,0.0396215999999993,0.00012460404220216906,79.3
45,LOCART,20,5000,0.03746480000000018,0.0006060266390702046,81.6
46,LOFOREST,20,5000,0.038425599999999845,0.0002431532366725163,81.6
47,tuned LOFOREST,20,5000,0.03423880000000007,0.00029191404029213426,81.6
48,boosting,20,5000,0.026983200000000096,0.0003521107171858306,81.6
49,monte-carlo,20,5000,0.036525200000000084,0.0002539568420632128,81.6
50,LOCART,20,10000,0.03186560000000011,0.0002891339529029438,86.0
51,LOFOREST,20,10000,0.030511200000000138,0.00019249694671531967,86.0
52,tuned LOFOREST,20,10000,0.0261232000000001,0.00021060992634840283,86.0
53,boosting,20,10000,0.0200700000000001,0.00022006333275745996,86.0
54,monte-carlo,20,10000,0.028592400000000212,0.00016122522258654658,86.0
55,LOCART,20,15000,0.023223600000000094,0.00019568681885094027,88.6
56,LOFOREST,20,15000,0.02567640000000005,0.00015730395518893,88.6
57,tuned LOFOREST,20,15000,0.019573200000000117,0.00014019974404997848,88.6
58,boosting,20,15000,0.015054800000000059,0.00024567373066309087,88.6
59,monte-carlo,20,15000,0.03426000000000022,0.00014442232904810797,88.6
60,LOCART,50,1000,0.056103600000000496,0.000475815453300967,74.7
61,LOFOREST,50,1000,0.05519240000000037,0.00020389000636539476,74.7
62,tuned LOFOREST,50,1000,0.05442400000000039,0.00021556855422181188,74.7
63,boosting,50,1000,0.02912520000000016,0.0007051177766826824,74.7
64,monte-carlo,50,1000,0.03622559999999931,0.00019564188171329483,74.7
65,LOCART,50,5000,0.03247880000000017,0.000461950084955864,84.1
66,LOFOREST,50,5000,0.031127200000000063,0.0002777156639638522,84.1
67,tuned LOFOREST,50,5000,0.027823599999999987,0.00026526009243759796,84.1
68,boosting,50,5000,0.0207384000000001,0.0003346054299217522,84.1
69,monte-carlo,50,5000,0.026873600000000095,0.00019626468529289933,84.1
70,LOCART,50,10000,0.025804400000000036,0.00021084838373314766,84.5
71,LOFOREST,50,10000,0.025935200000000082,0.00016530567445892844,84.5
72,tuned LOFOREST,50,10000,0.022276800000000097,0.00014919754225964778,84.5
73,boosting,50,10000,0.019072400000000062,0.0002122177030097175,84.5
74,monte-carlo,50,10000,0.022555200000000046,0.00014697047768854788,84.5
75,LOCART,50,15000,0.02174320000000014,0.00017871016229325108,79.2
76,LOFOREST,50,15000,0.022052000000000113,0.00010697872647437757,79.2
77,tuned LOFOREST,50,15000,0.01938720000000009,0.00012921084901075462,79.2
78,boosting,50,15000,0.015162800000000047,0.00015433231816466817,79.2
79,monte-carlo,50,15000,0.02149240000000009,0.00012176457127292882,79.2
80,LOCART,100,1000,0.03830920000000019,0.0003341329874760665,51.0
81,LOFOREST,100,1000,0.040148000000000086,0.0001349026376068338,51.0
82,tuned LOFOREST,100,1000,0.03985600000000004,0.0001170556648491678,51.0
83,boosting,100,1000,0.03126480000000015,0.0007663649820183618,51.0
84,monte-carlo,100,1000,0.033609999999999425,0.00025827524316883205,51.0
85,LOCART,100,5000,0.025711200000000104,0.00027758009012175775,88.0
86,LOFOREST,100,5000,0.028176400000000042,0.00014925611231812527,88.0
87,tuned LOFOREST,100,5000,0.021692000000000072,0.00022746014755926214,88.0
88,boosting,100,5000,0.01982840000000001,0.00027334419101140604,88.0
89,monte-carlo,100,5000,0.01968840000000001,0.00018603669320991652,88.0
90,LOCART,100,10000,0.020139600000000053,0.00023258240193720545,79.6
91,LOFOREST,100,10000,0.02299240000000015,0.00011724151960257143,79.6
92,tuned LOFOREST,100,10000,0.01919080000000012,0.00012352650156982557,79.6
93,boosting,100,10000,0.015276000000000024,0.0001964215082609845,79.6
94,monte-carlo,100,10000,0.01845960000000005,0.00012141687644936276,79.6
95,LOCART,100,15000,0.016542000000000105,0.00017096931464002487,78.7
96,LOFOREST,100,15000,0.018333200000000136,9.899386179597213e-05,78.7
97,tuned LOFOREST,100,15000,0.01660920000000009,0.00010560782804925153,78.7
98,boosting,100,15000,0.011925200000000054,0.0001765694946246383,78.7
99,monte-carlo,100,15000,0.016973200000000115,0.00011202100274502082,78.7
