,methods,N,B,MAE,se,K_tuned
42,tuned LOFOREST,20,1000,0.013569999999999994,0.0004965979739554162,35.666666666666664
43,boosting,20,1000,0.01602333333333331,0.0012200318772398846,35.666666666666664
44,monte-carlo,20,1000,0.27023999999999987,0.012568802495266625,35.666666666666664
45,LOCART,20,5000,0.016913333333333322,0.00030696658777174777,37.833333333333336
46,LOFOREST,20,5000,0.01107999999999998,0.00022503391696810466,37.833333333333336
47,tuned LOFOREST,20,5000,0.010796666666666644,0.00022310746732305585,37.833333333333336
48,boosting,20,5000,0.011743333333333321,0.00032455193551685427,37.833333333333336
49,monte-carlo,20,5000,0.01670999999999998,0.0002819658656339728,37.833333333333336
50,LOCART,20,10000,0.010519999999999993,0.00024204905804827518,29.666666666666668
51,LOFOREST,20,10000,0.00876666666666667,0.00013425431306342324,29.666666666666668
52,tuned LOFOREST,20,10000,0.00876666666666667,0.00012240044917747489,29.666666666666668
53,boosting,20,10000,0.010329999999999995,0.00022353954824511324,29.666666666666668
54,monte-carlo,20,10000,0.011919999999999977,0.0002029219720704757,29.666666666666668
55,LOCART,20,15000,0.009836666666666657,0.00023698762447937706,24.666666666666668
56,LOFOREST,20,15000,0.009059999999999992,0.0001293152096885362,24.666666666666668
57,tuned LOFOREST,20,15000,0.008156666666666666,0.00013761441330387985,24.666666666666668
58,boosting,20,15000,0.008983333333333319,0.00017562174092285225,24.666666666666668
59,monte-carlo,20,15000,0.009363333333333324,0.00018356775136598374,24.666666666666668
60,LOCART,50,1000,0.016133333333333322,0.0006735320828785102,20.333333333333332
61,LOFOREST,50,1000,0.01702999999999998,0.0004614813154687283,20.333333333333332
62,tuned LOFOREST,50,1000,0.013863333333333323,0.0004032407831781224,20.333333333333332
63,boosting,50,1000,0.01824666666666665,0.0011943440509058335,20.333333333333332
64,monte-carlo,50,1000,0.33136666666666686,0.002096289938087475,20.333333333333332
65,LOCART,50,5000,0.01222999999999999,0.00030311202685318284,49.833333333333336
66,LOFOREST,50,5000,0.012476666666666664,0.00017774092210559242,49.833333333333336
67,tuned LOFOREST,50,5000,0.011976666666666668,0.00018196395880648076,49.833333333333336
68,boosting,50,5000,0.010019999999999986,0.0004571864681578682,49.833333333333336
69,monte-carlo,50,5000,0.014859999999999983,0.00031836611168583603,49.833333333333336
70,LOCART,50,10000,0.009759999999999975,0.0002775407848277403,36.5
71,LOFOREST,50,10000,0.00868999999999999,0.00019309402494415958,36.5
72,tuned LOFOREST,50,10000,0.008413333333333314,0.00016153080583767237,36.5
73,boosting,50,10000,0.008676666666666664,0.0002630983081532189,36.5
74,monte-carlo,50,10000,0.010669999999999973,0.00018223799051017087,36.5
75,LOCART,50,15000,0.011426666666666654,0.0002016715538638502,23.166666666666668
76,LOFOREST,50,15000,0.009343333333333325,0.00014065268346624286,23.166666666666668
77,tuned LOFOREST,50,15000,0.008479999999999996,0.0001214248467803761,23.166666666666668
78,boosting,50,15000,0.01036666666666665,0.00019323726859824038,23.166666666666668
79,monte-carlo,50,15000,0.010223333333333319,0.000166104781249395,23.166666666666668
80,LOCART,100,1000,0.017603333333333332,0.0007287390315687001,13.333333333333334
81,LOFOREST,100,1000,0.01563333333333334,0.000571166838684782,13.333333333333334
82,tuned LOFOREST,100,1000,0.015586666666666676,0.0003891105061653181,13.333333333333334
83,boosting,100,1000,0.01482999999999999,0.0008546087423313277,13.333333333333334
84,monte-carlo,100,1000,0.3421100000000001,0.0017317518032993182,13.333333333333334
85,LOCART,100,5000,0.010903333333333315,0.0002536318286941697,35.333333333333336
86,LOFOREST,100,5000,0.011466666666666651,0.00021718712892617036,35.333333333333336
87,tuned LOFOREST,100,5000,0.010776666666666651,0.00016291432902241243,35.333333333333336
88,boosting,100,5000,0.01528666666666665,0.0003737939860844759,35.333333333333336
89,monte-carlo,100,5000,0.01721666666666664,0.00031352124717151636,35.333333333333336
90,LOCART,100,10000,0.01198333333333333,0.00022452289516366612,34.333333333333336
91,LOFOREST,100,10000,0.01029666666666665,0.00015904929613432084,34.333333333333336
92,tuned LOFOREST,100,10000,0.010149999999999987,0.0001484138136505642,34.333333333333336
93,boosting,100,10000,0.010016666666666651,0.00019892531841001667,34.333333333333336
94,monte-carlo,100,10000,0.00937999999999998,0.00023141509922247502,34.333333333333336
95,LOCART,100,15000,0.011456666666666655,0.00023378232374822363,25.333333333333332
96,LOFOREST,100,15000,0.008163333333333323,0.00014344847514203868,25.333333333333332
97,tuned LOFOREST,100,15000,0.007369999999999994,0.00014348712535984845,25.333333333333332
98,boosting,100,15000,0.00861666666666666,0.00019147269411744428,25.333333333333332
99,monte-carlo,100,15000,0.012469999999999986,0.00017473612792806152,25.333333333333332
