,methods,N,B,MAE,se,K_tuned
85,LOFOREST,50,10000,0.020728000000000062,0.0002549788398870034,35.166666666666664
86,tuned LOFOREST,50,10000,0.0200613333333334,0.0002512716745272975,35.166666666666664
87,boosting,50,10000,0.037523999999999995,0.00034698994461302725,35.166666666666664
88,monte-carlo,50,10000,0.024786666666666762,0.00024049482062816303,35.166666666666664
89,LR,50,10000,0.27362400000000026,7.614907147444003e-05,35.166666666666664
90,LOCART,50,15000,0.025340000000000102,0.00033902400512261853,32.5
91,LOFOREST,50,15000,0.022164000000000048,0.0001601515350311671,32.5
92,tuned LOFOREST,50,15000,0.021325333333333415,0.00014729906064700273,32.5
93,boosting,50,15000,0.038263999999999965,0.0003092238726084149,32.5
94,monte-carlo,50,15000,0.025104000000000123,0.00019643006215157768,32.5
95,LR,50,15000,0.2734333333333335,9.051921524859087e-05,32.5
96,LOCART,100,1000,0.023871999999999994,0.0003538139159841401,35.0
97,LOFOREST,100,1000,0.04273333333333334,0.00045694371914836333,35.0
98,tuned LOFOREST,100,1000,0.04119600000000002,0.00040792068816792313,35.0
99,boosting,100,1000,0.024361333333333287,0.001164603500474248,35.0
100,monte-carlo,100,1000,0.05000000000000001,0.00024378793847624298,35.0
101,LR,100,1000,0.15071199999999998,6.649647857256953e-05,35.0
102,LOCART,100,5000,0.012186666666666653,0.0003180386890562616,38.333333333333336
103,LOFOREST,100,5000,0.010355999999999985,0.00024848769834833384,38.333333333333336
104,tuned LOFOREST,100,5000,0.010097333333333326,0.0001946360674411897,38.333333333333336
105,boosting,100,5000,0.014533333333333308,0.0003690440941680663,38.333333333333336
106,monte-carlo,100,5000,0.017342666666666715,0.000233020680267007,38.333333333333336
107,LR,100,5000,0.1502186666666666,8.164575534744526e-05,38.333333333333336
108,LOCART,100,10000,0.013030666666666647,0.00025186680508985866,24.333333333333332
109,LOFOREST,100,10000,0.010117333333333329,0.00015568842769621134,24.333333333333332
110,tuned LOFOREST,100,10000,0.009002666666666655,0.00015174548780757483,24.333333333333332
111,boosting,100,10000,0.012429333333333313,0.0002654267871900357,24.333333333333332
112,monte-carlo,100,10000,0.018829333333333382,0.00028367260338190196,24.333333333333332
113,LR,100,10000,0.15101066666666657,5.65247774797569e-05,24.333333333333332
114,LOCART,100,15000,0.011588000000000008,0.0001561200991744981,26.0
115,LOFOREST,100,15000,0.010041333333333341,0.00010435412327870662,26.0
116,tuned LOFOREST,100,15000,0.009979999999999994,0.00010182916024667597,26.0
117,boosting,100,15000,0.012398666666666652,0.00017161601103276496,26.0
118,monte-carlo,100,15000,0.014487999999999996,0.000295646168788541,26.0
119,LR,100,15000,0.15035733333333337,7.101481257413091e-05,26.0
