,Nflow,B,N
19,0.09158984375000001,30000,1
20,0.07973828125,30000,1
21,0.0822265625,30000,1
22,0.09201171875,30000,1
23,0.094171875,30000,1
24,0.07408984374999998,30000,1
25,0.07667187499999999,30000,1
26,0.08014453125000001,30000,1
27,0.0792109375,30000,1
28,0.101109375,30000,1
29,0.06598828125,30000,1
0,0.061238281250000005,10000,5
1,0.0634453125,10000,5
2,0.06954296875000002,10000,5
3,0.06136328125,10000,5
4,0.054039062500000005,10000,5
5,0.061417968749999996,10000,5
6,0.07051953125000002,10000,5
7,0.057718750000000006,10000,5
8,0.06666406250000001,10000,5
9,0.073671875,10000,5
10,0.08437890624999998,10000,5
11,0.06382421875,10000,5
12,0.069140625,10000,5
13,0.07240625,10000,5
14,0.061453125000000004,10000,5
15,0.05875000000000001,10000,5
16,0.064921875,10000,5
17,0.05609375,10000,5
18,0.07410546875,10000,5
19,0.05703515625000001,10000,5
20,0.06391796875000001,10000,5
21,0.08266796874999999,10000,5
22,0.0825859375,10000,5
23,0.07163671875,10000,5
24,0.0714609375,10000,5
25,0.0685625,10000,5
26,0.05848046875000001,10000,5
27,0.0867109375,10000,5
28,0.056316406250000006,10000,5
29,0.05702734375,10000,5
0,0.053078125000000004,15000,5
1,0.07456249999999999,15000,5
2,0.060246093750000014,15000,5
3,0.07372265624999999,15000,5
4,0.061621093749999994,15000,5
5,0.06238671875,15000,5
6,0.059101562499999996,15000,5
7,0.06033593749999999,15000,5
8,0.06176171875,15000,5
9,0.06973828125,15000,5
10,0.06221484375,15000,5
11,0.05442578125000001,15000,5
12,0.06836328125,15000,5
13,0.07214453125,15000,5
14,0.06580859375,15000,5
15,0.06519921875000001,15000,5
16,0.06656640625000002,15000,5
17,0.06716796875,15000,5
18,0.0647265625,15000,5
19,0.06479687500000002,15000,5
20,0.06309375,15000,5
21,0.05550781250000002,15000,5
22,0.06322656250000001,15000,5
23,0.06056640625,15000,5
24,0.06280859375,15000,5
25,0.07289453124999999,15000,5
26,0.05608203125000001,15000,5
27,0.06487109375,15000,5
28,0.054496093750000016,15000,5
29,0.0579921875,15000,5
0,0.06115625000000001,20000,5
1,0.06957812499999999,20000,5
2,0.061722656250000014,20000,5
3,0.06686328124999999,20000,5
4,0.06825390625000001,20000,5
5,0.066578125,20000,5
6,0.06814453125,20000,5
7,0.06575781250000001,20000,5
8,0.08256250000000001,20000,5
9,0.0779609375,20000,5
10,0.07704687500000001,20000,5
11,0.06073437499999999,20000,5
12,0.058878906249999995,20000,5
13,0.06632031249999999,20000,5
14,0.06258203125000002,20000,5
15,0.05448828125000001,20000,5
16,0.06447265625000001,20000,5
17,0.06496875000000002,20000,5
18,0.05486328124999999,20000,5
19,0.05922656250000001,20000,5
20,0.05892968750000001,20000,5
21,0.06087890625,20000,5
22,0.0608359375,20000,5
23,0.05633984375000001,20000,5
24,0.05887109375000001,20000,5
25,0.05971484375000001,20000,5
26,0.058710937500000004,20000,5
27,0.07148828125000001,20000,5
28,0.0577890625,20000,5
29,0.063265625,20000,5
0,0.06757421875000001,30000,5
1,0.06487890624999999,30000,5
2,0.06049609375000001,30000,5
3,0.060085937500000006,30000,5
4,0.06181250000000001,30000,5
5,0.08470312499999999,30000,5
6,0.08168750000000001,30000,5
7,0.057847656250000004,30000,5
8,0.06682421875,30000,5
9,0.05597265625,30000,5
10,0.0625234375,30000,5
11,0.07326171875,30000,5
12,0.0738046875,30000,5
13,0.06016796875,30000,5
14,0.05935546875,30000,5
15,0.06639062500000001,30000,5
